Treads|Time|Energy|CO2eq|travelled
2|0:03:19|0,0066|3,1272|0,0291
4|0:01:41|0,0036|1,6961|0,0158
6|0:01:11|0,0027|1,2833|0,0119
8|0:00:54|0,0023|1,0711|0,0100
10|0:00:45|0,0020|0,9586|0,0089
12|0:00:44|0,0025|1,1710|0,0109
14|0:00:30|0,0018|0,8676|0,0081
16|0:00:26|0,0017|0,8047|0,0075
18|0:00:23|0,0016|0,7604|0,0071
20|0:00:22|0,0015|0,7055|0,0066
22|0:00:30|0,0020|0,9618|0,0089
24|0:00:28|0,0019|0,8998|0,0084
26|0:00:26|0,0018|0,8494|0,0079
28|0:00:25|0,0017|0,8205|0,0076
30|0:00:23|0,0017|0,7839|0,0073
32|0:00:22|0,0016|0,7499|0,0070
34|0:00:21|0,0015|0,7188|0,0067
36|0:00:20|0,0015|0,6946|0,0065
38|0:00:19|0,0014|0,6716|0,0062
40|0:00:18|0,0013|0,6366|0,0059
