Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,PO,251.46902,0:04:11,0.0084,4.0541,0.0377
4,PO,134.36050,0:02:14,0.0048,2.3224,0.0216
6,PO,93.43815,0:01:33,0.0035,1.6886,0.0157
8,PO,76.81308,0:01:17,0.0030,1.4404,0.0134
10,PO,68.73904,0:01:09,0.0027,1.3182,0.0123
12,PO,64.26144,0:01:04,0.0026,1.2569,0.0117
14,PO,NaN,0:00:00,0.0000,0.0000,0.0000
16,PO,NaN,0:00:00,0.0000,0.0000,0.0000
18,PO,NaN,0:00:00,0.0000,0.0000,0.0000
20,PO,NaN,0:00:00,0.0000,0.0000,0.0000
22,PO,NaN,0:00:00,0.0000,0.0000,0.0000
24,PO,NaN,0:00:00,0.0000,0.0000,0.0000
26,PO,NaN,0:00:00,0.0000,0.0000,0.0000
28,PO,NaN,0:00:00,0.0000,0.0000,0.0000
30,PO,NaN,0:00:00,0.0000,0.0000,0.0000
32,PO,NaN,0:00:00,0.0000,0.0000,0.0000
34,PO,NaN,0:00:00,0.0000,0.0000,0.0000
36,PO,NaN,0:00:00,0.0000,0.0000,0.0000
38,PO,NaN,0:00:00,0.0000,0.0000,0.0000
40,PO,NaN,0:00:00,0.0000,0.0000,0.0000
42,PO,NaN,0:00:00,0.0000,0.0000,0.0000
44,PO,NaN,0:00:00,0.0000,0.0000,0.0000
46,PO,NaN,0:00:00,0.0000,0.0000,0.0000
48,PO,NaN,0:00:00,0.0000,0.0000,0.0000
50,PO,NaN,0:00:00,0.0000,0.0000,0.0000
52,PO,NaN,0:00:00,0.0000,0.0000,0.0000
54,PO,NaN,0:00:00,0.0000,0.0000,0.0000
56,PO,NaN,0:00:00,0.0000,0.0000,0.0000
58,PO,NaN,0:00:00,0.0000,0.0000,0.0000
60,PO,NaN,0:00:00,0.0000,0.0000,0.0000
62,PO,NaN,0:00:00,0.0000,0.0000,0.0000
64,PO,NaN,0:00:00,0.0000,0.0000,0.0000
66,PO,NaN,0:00:00,0.0000,0.0000,0.0000
68,PO,NaN,0:00:00,0.0000,0.0000,0.0000
70,PO,NaN,0:00:00,0.0000,0.0000,0.0000
72,PO,NaN,0:00:00,0.0000,0.0000,0.0000
74,PO,NaN,0:00:00,0.0000,0.0000,0.0000
76,PO,NaN,0:00:00,0.0000,0.0000,0.0000
78,PO,NaN,0:00:00,0.0000,0.0000,0.0000
80,PO,NaN,0:00:00,0.0000,0.0000,0.0000
82,PO,NaN,0:00:00,0.0000,0.0000,0.0000
84,PO,NaN,0:00:00,0.0000,0.0000,0.0000
86,PO,NaN,0:00:00,0.0000,0.0000,0.0000
88,PO,NaN,0:00:00,0.0000,0.0000,0.0000
